ZIP_3_DIGIT,medhhinc,year
179,49189,2006
195,49189,2006
180,48469,2006
181,48469,2006
189,48469,2006
195,48469,2006
178,39687,2006
182,39687,2006
186,39687,2006
187,39687,2006
169,38907,2006
177,38907,2006
178,38907,2006
160,37922,2006
161,37922,2006
163,37922,2006
180,50173,2006
182,50173,2006
183,50173,2006
184,50173,2006
186,50173,2006
180,71180,2006
189,71180,2006
190,71180,2006
191,71180,2006
193,71180,2006
194,71180,2006
195,71180,2006
180,53431,2006
181,53431,2006
183,53431,2006
170,35985,2006
177,35985,2006
178,35985,2006
190,33229,2006
191,33229,2006
179,38496,2006
182,38496,2006
195,38496,2006
154,33837,2006
155,33837,2006
156,33837,2006
159,33837,2006
150,45789,2006
151,45789,2006
152,45789,2006
153,45789,2006
154,45789,2006
150,43617,2006
151,43617,2006
152,43617,2006
154,43617,2006
155,43617,2006
156,43617,2006
157,43617,2006
159,43617,2006
162,43617,2006
170,52428,2006
173,52428,2006
174,52428,2006
28,59190,2006
29,59190,2006
28,59758,2006
28,46098,2006
29,46098,2006
28,66250,2006
290,44128,2006
291,44128,2006
298,44128,2006
296,41015,2006
299,50522,2006
290,48726,2006
294,48726,2006
294,43857,2006
290,37503,2006
291,37503,2006
295,37503,2006
290,50332,2006
294,50332,2006
291,38185,2006
295,38185,2006
293,41850,2006
296,41850,2006
291,38793,2006
296,38793,2006
298,38793,2006
295,40816,2006
290,34791,2006
291,34791,2006
293,34791,2006
296,34791,2006
290,50103,2006
291,50103,2006
292,50103,2006
296,39679,2006
290,29700,2006
291,29700,2006
294,29700,2006
296,40733,2006
290,45370,2006
291,45370,2006
292,45370,2006
293,39694,2006
296,39694,2006
290,35461,2006
291,35461,2006
297,45739,2006
570,49810,2006
571,49810,2006
577,43508,2006
377,41652,2006
378,41652,2006
379,41652,2006
377,42909,2006
378,42909,2006
379,42909,2006
373,37185,2006
370,41994,2006
371,41994,2006
372,41994,2006
376,34291,2006
377,34291,2006
378,34291,2006
373,41855,2006
374,41855,2006
377,44184,2006
378,44184,2006
379,44184,2006
380,35216,2006
383,35216,2006
370,44769,2006
371,44769,2006
384,44769,2006
370,47864,2006
371,47864,2006
422,47864,2006
385,35139,2006
370,47254,2006
371,47254,2006
