ZIP_3_DIGIT,popcount,year
140,921390,2006
141,921390,2006
142,921390,2006
130,114264,2006
131,114264,2006
136,114264,2006
112,2508820,2006
114,2508820,2006
130,70197,2006
131,70197,2006
133,70197,2006
134,70197,2006
144,730807,2006
145,730807,2006
146,730807,2006
110,1325662,2006
115,1325662,2006
116,1325662,2006
117,1325662,2006
118,1325662,2006
100,1611581,2006
101,1611581,2006
102,1611581,2006
104,1611581,2006
140,216130,2006
141,216130,2006
143,216130,2006
130,233954,2006
131,233954,2006
133,233954,2006
134,233954,2006
135,233954,2006
130,456777,2006
131,456777,2006
132,456777,2006
131,104353,2006
144,104353,2006
145,104353,2006
109,376392,2006
125,376392,2006
127,376392,2006
130,123077,2006
131,123077,2006
133,123077,2006
134,123077,2006
136,123077,2006
105,100603,2006
125,100603,2006
110,2255175,2006
111,2255175,2006
113,2255175,2006
114,2255175,2006
115,2255175,2006
116,2255175,2006
120,155292,2006
121,155292,2006
103,477377,2006
109,294965,2006
129,111284,2006
136,111284,2006
120,215473,2006
121,215473,2006
123,215473,2006
128,215473,2006
120,150440,2006
121,150440,2006
123,150440,2006
144,98236,2006
145,98236,2006
148,98236,2006
5,1469715,2006
63,1469715,2006
117,1469715,2006
119,1469715,2006
109,76588,2006
124,76588,2006
125,76588,2006
127,76588,2006
130,100407,2006
131,100407,2006
137,100407,2006
138,100407,2006
148,100407,2006
124,182742,2006
125,182742,2006
127,182742,2006
128,66087,2006
131,92889,2006
144,92889,2006
145,92889,2006
104,949355,2006
105,949355,2006
106,949355,2006
107,949355,2006
108,949355,2006
272,142661,2006
273,142661,2006
284,94945,2006
287,222174,2006
288,222174,2006
280,90054,2006
281,90054,2006
286,90054,2006
287,90054,2006
280,156395,2006
281,156395,2006
282,156395,2006
286,79841,2006
280,153784,2006
281,153784,2006
286,153784,2006
280,98373,2006
281,98373,2006
286,98373,2006
285,94875,2006
283,299060,2006
270,156236,2006
271,156236,2006
272,156236,2006
273,156236,2006
281,156236,2006
272,246896,2006
275,246896,2006
276,246896,2006
277,246896,2006
270,332355,2006
271,332355,2006
272,332355,2006
273,332355,2006
280,199397,2006
281,199397,2006
272,451905,2006
273,451905,2006
274,451905,2006
273,106283,2006
275,106283,2006
283,106283,2006
287,99033,2006
270,146206,2006
280,146206,2006
281,146206,2006
286,146206,2006
275,152143,2006
276,152143,2006
278,152143,2006
283,152143,2006
280,71894,2006
281,71894,2006
286,71894,2006
280,827445,2006
281,827445,2006
282,827445,2006
272,83162,2006
273,83162,2006
283,83162,2006
275,92312,2006
278,92312,2006
284,182591,2006
284,150673,2006
285,150673,2006
272,120100,2006
273,120100,2006
275,120100,2006
277,120100,2006
278,145619,2006
285,145619,2006
272,140410,2006
273,140410,2006
283,129021,2006
270,93063,2006
272,93063,2006
273,93063,2006
270,136254,2006
280,136254,2006
281,136254,2006
286,136254,2006
270,72687,2006
286,72687,2006
280,175272,2006
281,175272,2006
282,175272,2006
275,786522,2006
276,786522,2006
277,786522,2006
275,113847,2006
278,113847,2006
283,113847,2006
285,113847,2006
270,67310,2006
286,67310,2006
275,76624,2006
278,76624,2006
584,75384,2006
585,75384,2006
580,132525,2006
581,132525,2006
582,65435,2006
458,105788,2006
440,102703,2006
444,102703,2006
437,68771,2006
439,68771,2006
450,354992,2006
452,354992,2006
453,354992,2006
430,141872,2006
431,141872,2006
453,141872,2006
455,141872,2006
451,192706,2006
452,192706,2006
439,110542,2006
444,110542,2006
446,110542,2006
440,1314241,2006
441,1314241,2006
442,1314241,2006
430,156697,2006
432,156697,2006
433,156697,2006
434,78116,2006
440,78116,2006
448,78116,2006
430,140591,2006
431,140591,2006
430,1095662,2006
431,1095662,2006
432,1095662,2006
440,95676,2006
442,95676,2006
444,95676,2006
431,152298,2006
450,152298,2006
451,152298,2006
453,152298,2006
454,152298,2006
450,822596,2006
451,822596,2006
452,822596,2006
433,73824,2006
435,73824,2006
448,73824,2006
458,73824,2006
439,70125,2006
440,232892,2006
441,232892,2006
430,156287,2006
431,156287,2006
437,156287,2006
438,156287,2006
440,301993,2006
442,301993,2006
448,301993,2006
434,445281,2006
435,445281,2006
436,445281,2006
444,251026,2006
445,251026,2006
446,251026,2006
433,65583,2006
448,65583,2006
440,169353,2006
442,169353,2006
443,169353,2006
448,169353,2006
453,101914,2006
454,101914,2006
450,542237,2006
453,542237,2006
454,542237,2006
430,86125,2006
437,86125,2006
438,86125,2006
442,155012,2006
443,155012,2006
444,155012,2006
446,155012,2006
430,127010,2006
448,127010,2006
449,127010,2006
431,75556,2006
451,75556,2006
456,75556,2006
456,76441,2006
442,380575,2006
446,380575,2006
447,380575,2006
440,545931,2006
441,545931,2006
442,545931,2006
443,545931,2006
446,545931,2006
447,545931,2006
440,217362,2006
442,217362,2006
444,217362,2006
445,217362,2006
437,91766,2006
438,91766,2006
446,91766,2006
450,201871,2006
451,201871,2006
452,201871,2006
453,201871,2006
454,201871,2006
442,113950,2006
446,113950,2006
448,113950,2006
434,124183,2006
435,124183,2006
436,124183,2006
448,124183,2006
458,124183,2006
730,101335,2006
731,101335,2006
737,101335,2006
730,228594,2006
731,228594,2006
748,228594,2006
730,109181,2006
735,109181,2006
740,69146,2006
741,69146,2006
744,69146,2006
744,71018,2006
730,691266,2006
731,691266,2006
748,691266,2006
730,73818,2006
740,73818,2006
748,73818,2006
730,68638,2006
748,68638,2006
740,82435,2006
741,82435,2006
743,82435,2006
740,577795,2006
741,577795,2006
740,66313,2006
741,66313,2006
743,66313,2006
744,66313,2006
973,79061,2006
974,79061,2006
970,374230,2006
971,374230,2006
972,374230,2006
973,374230,2006
977,149140,2006
974,105117,2006
977,105117,2006
974,197071,2006
975,197071,2006
974,81688,2006
975,81688,2006
976,67673,2006
977,67673,2006
973,337870,2006
974,337870,2006
973,111489,2006
974,111489,2006
970,311304,2006
971,311304,2006
973,311304,2006
970,681454,2006
971,681454,2006
972,681454,2006
971,73296,2006
973,73296,2006
978,72928,2006
970,514269,2006
971,514269,2006
972,514269,2006
971,94678,2006
973,94678,2006
170,101105,2006
172,101105,2006
173,101105,2006
150,1223411,2006
151,1223411,2006
152,1223411,2006
153,1223411,2006
156,1223411,2006
160,1223411,2006
156,70096,2006
157,70096,2006
160,70096,2006
162,70096,2006
150,175736,2006
151,175736,2006
160,175736,2006
161,175736,2006
170,401149,2006
175,401149,2006
180,401149,2006
194,401149,2006
195,401149,2006
196,401149,2006
159,126494,2006
166,126494,2006
180,623205,2006
189,623205,2006
190,623205,2006
191,623205,2006
194,623205,2006
150,182901,2006
160,182901,2006
161,182901,2006
162,182901,2006
163,182901,2006
157,146967,2006
159,146967,2006
166,146967,2006
166,140953,2006
168,140953,2006
175,482112,2006
190,482112,2006
193,482112,2006
194,482112,2006
195,482112,2006
157,82442,2006
158,82442,2006
166,82442,2006
168,82442,2006
177,65014,2006
178,65014,2006
179,65014,2006
186,65014,2006
161,89389,2006
163,89389,2006
164,89389,2006
170,226117,2006
172,226117,2006
173,226117,2006
170,254176,2006
171,254176,2006
179,254176,2006
190,555996,2006
191,555996,2006
193,555996,2006
164,279811,2006
165,279811,2006
150,145760,2006
154,145760,2006
155,145760,2006
156,145760,2006
170,139991,2006
172,139991,2006
156,88234,2006
157,88234,2006
159,88234,2006
162,88234,2006
184,209728,2006
185,209728,2006
186,209728,2006
170,494486,2006
173,494486,2006
175,494486,2006
176,494486,2006
193,494486,2006
195,494486,2006
160,91795,2006
161,91795,2006
170,126883,2006
175,126883,2006
179,126883,2006
195,126883,2006
180,335544,2006
181,335544,2006
189,335544,2006
195,335544,2006
178,313020,2006
182,313020,2006
186,313020,2006
187,313020,2006
169,117668,2006
177,117668,2006
178,117668,2006
160,118551,2006
161,118551,2006
163,118551,2006
180,165685,2006
182,165685,2006
183,165685,2006
184,165685,2006
186,165685,2006
180,775688,2006
189,775688,2006
190,775688,2006
191,775688,2006
193,775688,2006
194,775688,2006
195,775688,2006
180,291306,2006
181,291306,2006
183,291306,2006
170,91654,2006
177,91654,2006
178,91654,2006
190,1448394,2006
191,1448394,2006
179,147405,2006
182,147405,2006
195,147405,2006
154,78508,2006
155,78508,2006
156,78508,2006
159,78508,2006
150,206432,2006
151,206432,2006
152,206432,2006
153,206432,2006
154,206432,2006
150,366440,2006
151,366440,2006
152,366440,2006
154,366440,2006
155,366440,2006
156,366440,2006
157,366440,2006
159,366440,2006
162,366440,2006
170,416322,2006
173,416322,2006
174,416322,2006
28,170053,2006
29,170053,2006
28,82144,2006
28,635596,2006
29,635596,2006
28,127561,2006
290,151800,2006
291,151800,2006
298,151800,2006
296,177963,2006
299,142045,2006
290,152282,2006
294,152282,2006
294,331917,2006
290,67551,2006
291,67551,2006
295,67551,2006
290,118979,2006
294,118979,2006
291,131297,2006
295,131297,2006
293,417166,2006
296,417166,2006
291,68213,2006
296,68213,2006
298,68213,2006
295,238493,2006
290,70374,2006
291,70374,2006
293,70374,2006
296,70374,2006
290,240160,2006
291,240160,2006
292,240160,2006
296,70567,2006
290,90845,2006
291,90845,2006
294,90845,2006
296,114446,2006
290,348226,2006
291,348226,2006
292,348226,2006
293,271087,2006
296,271087,2006
290,104430,2006
291,104430,2006
297,199035,2006
570,163281,2006
571,163281,2006
577,94338,2006
377,73579,2006
378,73579,2006
379,73579,2006
377,118186,2006
378,118186,2006
379,118186,2006
373,93538,2006
370,578698,2006
371,578698,2006
372,578698,2006
376,68109,2006
