store_code_uc,store_zip3,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,years_drink
73750,380,1,1,1,1,1,1,1,1,1,1,10
73781,180,1,1,1,1,1,1,1,1,1,1,10
74116,829,0,0,0,0,1,1,1,1,1,1,6
74184,295,1,1,1,1,1,1,1,1,1,1,10
74234,232,1,1,1,1,1,1,1,1,1,1,10
74519,853,0,0,0,0,1,1,1,1,1,1,6
74570,871,0,0,0,0,0,1,1,1,1,1,5
74818,218,1,1,1,1,1,1,1,1,1,1,10
75040,74,1,1,1,1,1,1,1,1,1,1,10
75112,605,1,1,1,1,1,1,1,1,1,1,10
75286,49,1,1,1,1,1,1,1,1,1,1,10
75846,80,1,1,1,1,1,1,1,1,1,1,10
75878,750,1,1,1,1,1,1,1,1,1,1,10
76272,44,1,1,1,1,1,1,1,1,1,1,10
76430,186,1,1,1,1,1,1,1,1,1,1,10
76652,334,1,1,1,1,1,1,1,1,1,1,10
76833,791,1,1,1,1,1,1,1,1,1,1,10
77078,49,1,1,1,1,1,1,1,1,1,1,10
77245,856,1,1,1,1,1,1,1,1,1,1,10
77274,840,0,0,0,0,0,1,1,1,1,1,5
77639,494,1,1,1,1,1,1,1,1,1,1,10
78088,853,1,1,1,1,1,1,1,1,1,1,10
78097,757,1,1,1,1,1,1,1,1,1,1,10
78445,797,1,1,1,1,1,1,1,1,1,1,10
78454,928,1,1,1,1,1,1,1,1,1,1,10
78667,373,1,1,1,1,1,1,1,1,1,1,10
78690,49,1,1,1,1,1,1,1,1,1,1,10
78988,10,1,1,1,1,1,1,1,1,1,1,10
79251,365,1,1,1,1,1,1,1,1,1,1,10
79746,482,0,0,1,1,1,1,1,1,1,1,8
80066,953,1,1,1,1,1,1,1,1,1,1,10
80279,217,1,1,1,1,1,1,1,1,1,1,10
80863,448,1,1,1,1,1,1,1,1,1,1,10
80872,331,1,1,1,1,1,1,1,1,1,1,10
81488,392,1,1,1,1,1,1,1,1,1,1,10
81592,114,1,1,1,1,1,1,1,1,1,1,10
81669,342,1,1,1,1,1,1,1,1,1,1,10
82081,300,1,1,1,1,1,1,1,1,1,1,10
82475,495,1,1,1,1,1,1,1,1,1,1,10
82843,456,0,0,0,1,1,1,1,1,1,1,7
82887,316,1,1,1,1,1,1,1,1,1,1,10
83123,485,1,1,1,1,1,1,1,1,1,1,10
83423,199,0,0,0,0,1,1,1,1,1,1,6
83503,320,1,1,1,1,1,1,1,1,1,1,10
83616,935,1,1,1,1,1,1,1,1,1,1,10
