store_code_uc,store_zip3,fips_state_code,fips_state_descr,fips_county_code,fips_county_descr,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,years_all
4628275,172,42,PA,55,FRANKLIN,1,1,1,1,1,1,1,1,1,1,10
4628492,328,12,FL,95,ORANGE,1,1,1,1,1,1,1,1,1,1,10
4628745,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4628745,705,22,LA,1,ACADIA,1,1,1,1,1,1,0,0,0,0,6
4628895,333,12,FL,11,BROWARD,1,1,1,1,1,1,1,1,1,1,10
4629139,296,45,SC,45,GREENVILLE,1,1,1,1,1,1,1,1,1,1,10
4629159,700,22,LA,87,ST BERNARD,1,1,1,1,1,1,1,1,1,1,10
4629298,344,12,FL,17,CITRUS,1,1,1,1,1,1,1,1,1,1,10
4629339,40,23,ME,5,CUMBERLAND,1,1,1,1,1,1,1,1,1,1,10
4629701,349,12,FL,111,SAINT LUCIE,1,1,1,1,1,1,1,1,1,1,10
4630357,707,22,LA,63,LIVINGSTON,1,1,1,1,1,1,1,1,1,1,10
4630702,180,42,PA,95,NORTHAMPTON,1,1,1,1,1,1,1,1,1,1,10
4631105,451,39,OH,25,CLERMONT,1,1,1,1,1,1,1,1,1,1,10
4631313,301,13,GA,67,COBB,1,1,1,1,1,1,1,1,1,1,10
4631784,34,33,NH,5,CHESHIRE,1,1,1,1,1,1,1,1,1,1,10
4631797,665,20,KS,149,POTTAWATOMIE,1,1,1,1,1,1,1,1,1,1,10
4631960,296,45,SC,7,ANDERSON,1,1,1,1,1,1,1,1,0,0,8
4631969,707,22,LA,5,ASCENSION,1,1,1,1,1,1,1,1,1,1,10
4632423,201,51,VA,107,LOUDOUN,1,1,1,1,1,1,0,0,0,0,6
4632522,620,17,IL,119,MADISON,1,1,1,1,1,1,1,1,1,1,10
4632925,600,17,IL,31,COOK,1,1,1,1,1,1,1,1,1,1,10
4632947,750,48,TX,113,DALLAS,1,1,1,1,1,1,1,1,1,1,10
4633005,381,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4
4633328,600,17,IL,97,LAKE,1,1,1,1,1,1,1,1,1,1,10
4633571,853,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4
4634134,601,17,IL,31,COOK,1,1,1,1,1,1,1,1,1,1,10
4634578,608,17,IL,31,COOK,1,1,1,1,1,1,1,1,1,1,10
4634845,927,6,CA,59,ORANGE,1,1,1,1,1,1,1,1,1,1,10
4634940,604,17,IL,197,WILL,1,1,1,1,1,1,1,1,1,1,10
4635071,300,13,GA,217,NEWTON,1,1,1,1,1,1,1,1,1,1,10
4635343,604,17,IL,31,COOK,1,1,1,1,1,1,1,1,1,1,10
4635746,605,17,IL,43,DU PAGE,1,1,1,1,1,1,1,1,1,1,10
4636149,606,17,IL,31,COOK,1,1,1,1,1,1,1,1,1,1,10
4636470,598,30,MT,63,MISSOULA,1,1,1,1,1,1,1,1,1,1,10
4636552,606,17,IL,31,COOK,1,1,1,1,1,1,1,1,1,1,10
4636683,302,13,GA,149,HEARD,1,1,1,1,1,1,1,1,1,1,10
4636728,337,12,FL,103,PINELLAS,1,1,1,1,1,1,1,1,1,1,10
4636805,703,22,LA,109,TERREBONNE,1,1,1,1,1,1,1,1,1,1,10
4636955,606,17,IL,31,COOK,1,1,1,1,1,1,1,1,1,1,10
4637422,281,37,NC,45,CLEVELAND,1,1,1,1,1,1,1,1,1,1,10
4637761,617,17,IL,105,LIVINGSTON,1,1,1,1,1,1,1,1,1,1,10
4637801,372,47,TN,37,DAVIDSON,1,1,1,1,1,1,1,1,1,1,10
4638164,625,17,IL,115,MACON,1,1,1,1,1,1,1,1,1,1,10
4638295,302,13,GA,63,CLAYTON,1,1,1,1,1,1,1,1,1,1,10
4638417,703,22,LA,109,TERREBONNE,1,1,1,1,1,1,1,1,1,1,10
4638535,373,47,TN,153,SEQUATCHIE,1,1,1,1,1,1,1,1,1,1,10
4638567,462,18,IN,97,MARION,1,1,1,1,1,1,1,1,1,1,10
4638598,604,17,IL,31,COOK,1,1,1,1,1,1,0,0,0,0,6
4638716,526,19,IA,57,DES MOINES,1,1,1,1,1,1,0,0,0,0,6
4638857,100,36,NY,61,NEW YORK,1,1,1,1,1,1,0,0,0,0,6
4638992,985,53,WA,67,THURSTON,1,1,1,1,1,1,0,0,0,0,6
4639106,297,45,SC,91,YORK,1,1,1,1,1,1,1,1,1,1,10
4639223,705,22,LA,53,JEFF DAVIS,1,1,1,1,1,1,0,0,0,0,6
