store_code_uc,store_zip3,fips_state_code,fips_state_descr,fips_county_code,fips_county_descr,years_all,years_drink
6795297,317,13,GA,155,IRWIN,0,0
6796251,922,6,CA,25,IMPERIAL,1,1
6796455,453,39,OH,113,MONTGOMERY,1,1
6796510,185,42,PA,69,LACKAWANNA,1,1
6796528,740,40,OK,143,TULSA,1,0
6796586,930,6,CA,111,VENTURA,1,1
6797193,366,1,AL,97,MOBILE,1,1
6797266,760,48,TX,139,ELLIS,1,1
6797352,891,32,NV,3,CLARK,1,1
6798118,799,48,TX,141,EL PASO,1,0
6798420,240,51,VA,161,ROANOKE,1,1
6798756,661,20,KS,209,WYANDOTTE,1,1
6798796,657,0,0,0,0,0,0
6798900,700,22,LA,51,JEFFERSON,1,1
6798929,462,18,IN,97,MARION,1,0
6799303,704,22,LA,117,WASHINGTON,1,1
6799878,283,37,NC,85,HARNETT,0,0
6800109,714,22,LA,21,CALDWELL,1,1
6800512,701,22,LA,71,ORLEANS,1,1
6800589,19,25,MA,9,ESSEX,1,1
6801146,760,48,TX,439,TARRANT,1,1
6801442,430,39,OH,49,FRANKLIN,1,0
6801451,908,6,CA,37,LOS ANGELES,1,0
6801835,606,17,IL,31,COOK,1,1
6802047,770,48,TX,201,HARRIS,1,1
6802124,705,22,LA,55,LAFAYETTE,1,1
6802527,705,22,LA,101,SAINT MARY,1,1
6803120,408,21,KY,95,HARLAN,1,1
6803220,481,26,MI,163,WAYNE,1,1
6803736,713,22,LA,79,RAPIDES,1,1
6804053,379,47,TN,93,KNOX,0,0
6804139,703,22,LA,109,TERREBONNE,1,1
6804148,945,6,CA,13,CONTRA COSTA,1,1
6804388,705,22,LA,55,LAFAYETTE,1,1
6804456,206,24,MD,9,CALVERT,1,1
6804566,400,21,KY,155,MARION,1,0
6804580,774,48,TX,157,FORT BEND,1,0
6805348,712,22,LA,73,OUACHITA,1,1
6805751,714,22,LA,127,WINN,1,1
6805865,626,17,IL,137,MORGAN,1,1
6805923,871,35,NM,1,BERNALILLO,1,1
6807577,303,13,GA,121,FULTON,1,0
6807649,956,6,CA,61,PLACER,1,0
6807894,680,31,NE,153,SARPY,1,0
6808233,752,48,TX,113,DALLAS,1,1
6808522,296,45,SC,73,OCONEE,0,0
6808545,537,55,WI,25,DANE,1,1
6809396,349,12,FL,111,SAINT LUCIE,0,0
6809482,930,6,CA,111,VENTURA,0,0
6809799,945,6,CA,1,ALAMEDA,1,1
6809905,279,37,NC,91,HERTFORD,1,0
6811422,113,36,NY,81,QUEENS,1,0
6811461,461,18,IN,59,HANCOCK,1,1
6811710,290,45,SC,63,LEXINGTON,1,1
6811719,82,34,NJ,9,CAPE MAY,1,1
6812574,333,0,0,0,0,0,0
6812978,544,55,WI,19,CLARK,1,1
6813227,600,17,IL,31,COOK,1,0
6813983,902,6,CA,37,LOS ANGELES,1,1
6814187,545,55,WI,99,PRICE,0,0
6814282,752,48,TX,113,DALLAS,1,1
6814798,214,24,MD,3,ANNE ARUNDEL,1,1
6815527,930,6,CA,111,VENTURA,1,1
6816240,338,12,FL,105,POLK,1,0
6816738,125,36,NY,111,ULSTER,1,0
6816806,336,12,FL,57,HILLSBOROUGH,1,0
6816968,191,42,PA,101,PHILADELPHIA,1,1
6817008,548,55,WI,31,DOUGLAS,1,1
6817139,930,6,CA,111,VENTURA,1,1
6817207,704,22,LA,105,TANGIPAHOA,0,0
6817304,752,48,TX,113,DALLAS,1,0
6817868,559,27,MN,109,OLMSTED,1,1
6817959,364,1,AL,39,COVINGTON,1,1
6818015,200,0,0,0,0,0,0
6818264,922,6,CA,65,RIVERSIDE,1,0
6818607,631,29,MO,189,ST LOUIS,1,1
6818905,299,45,SC,13,BEAUFORT,1,1
6819426,486,26,MI,17,BAY,0,0
6819643,409,21,KY,13,BELL,1,1
6819856,230,51,VA,87,HENRICO,1,0
6820046,409,21,KY,13,BELL,1,1
6820921,171,42,PA,43,DAUPHIN,1,1
6820979,314,13,GA,51,CHATHAM,1,1
6821133,800,0,0,0,0,0,0
6821492,409,21,KY,121,KNOX,1,0
6821975,930,6,CA,111,VENTURA,1,1
6822043,857,4,AZ,19,PIMA,1,1
6822138,750,48,TX,113,DALLAS,1,1
6822407,430,39,OH,41,DELAWARE,1,0
6822781,930,6,CA,111,VENTURA,0,0
6822898,921,0,0,0,0,0,0
6822994,430,39,OH,49,FRANKLIN,1,1
6823796,907,0,0,0,0,0,0
6823873,366,1,AL,97,MOBILE,1,1
6824058,727,5,AR,7,BENTON,1,1
6824289,207,24,MD,33,PRNC GEORGES,1,1
6824386,945,6,CA,1,ALAMEDA,1,0
6824760,341,12,FL,21,COLLIER,0,0
6824914,606,17,IL,31,COOK,1,0
6825095,223,51,VA,59,FAIRFAX,1,1
6825163,487,26,MI,17,BAY,1,1
6825453,337,12,FL,103,PINELLAS,1,0
6825566,148,36,NY,3,ALLEGANY,1,1
6826218,684,0,0,0,0,0,0
6826259,970,41,OR,51,MULTNOMAH,1,1
6826478,309,13,GA,245,RICHMOND,1,0
6826657,297,45,SC,57,LANCASTER,1,1
6827174,212,24,MD,5,BALTIMORE,1,1
6827284,857,4,AZ,19,PIMA,1,0
6827984,550,27,MN,37,DAKOTA,1,0
6828025,119,36,NY,103,SUFFOLK,1,1
6828493,923,6,CA,71,SAN BRNRDINO,1,0
6828509,410,21,KY,117,KENTON,1,1
6828894,805,8,CO,69,LARIMER,1,1
6829189,480,26,MI,99,MACOMB,1,1
6829234,76,34,NJ,3,BERGEN,1,1
6829637,440,39,OH,93,LORAIN,1,1
6829845,727,5,AR,143,WASHINGTON,1,1
6829894,152,0,0,0,0,0,0
6830103,335,12,FL,101,PASCO,0,0
6830438,931,6,CA,83,SANTA BRBARA,1,1
6831054,550,27,MN,163,WASHINGTON,1,1
6831172,77,34,NJ,25,MONMOUTH,1,1
6831244,931,6,CA,83,SANTA BRBARA,1,1
6831647,931,6,CA,83,SANTA BRBARA,0,0
6832043,900,6,CA,37,LOS ANGELES,1,0
6832050,931,6,CA,83,SANTA BRBARA,1,1
6832096,198,10,DE,3,NEW CASTLE,0,0
6832263,551,27,MN,37,DAKOTA,1,1
6832381,193,42,PA,29,CHESTER,1,1
6832563,35,33,NH,7,COOS,1,1
6832752,712,22,LA,65,MADISON,1,1
6832885,483,26,MI,93,LIVINGSTON,1,0
6833259,931,6,CA,83,SANTA BRBARA,0,0
6833662,931,6,CA,83,SANTA BRBARA,0,0
6833875,231,51,VA,41,CHESTERFIELD,1,1
6833961,444,39,OH,155,TRUMBULL,1,1
6834135,710,22,LA,119,WEBSTER,1,0
6834473,19,25,MA,9,ESSEX,1,1
6834681,937,6,CA,19,FRESNO,1,1
6834794,559,27,MN,99,MOWER,1,1
6835084,488,26,MI,73,ISABELLA,1,1
6835202,179,42,PA,107,SCHUYLKILL,1,1
6835267,700,22,LA,51,JEFFERSON,1,0
6835315,88,34,NJ,23,MIDDLESEX,1,1
6835487,937,6,CA,19,FRESNO,1,1
6835976,714,22,LA,3,ALLEN,0,0
6836782,452,39,OH,61,HAMILTON,1,1
6836972,410,21,KY,117,KENTON,1,1
6837359,294,0,0,0,0,0,0
6837367,210,24,MD,3,ANNE ARUNDEL,1,1
6837406,646,0,0,0,0,0,0
6837905,917,6,CA,71,SAN BRNRDINO,1,1
6837991,447,39,OH,151,STARK,1,1
6838381,712,22,LA,73,OUACHITA,1,1
6838797,700,22,LA,51,JEFFERSON,1,1
6838930,287,37,NC,89,HENDERSON,1,0
6839200,549,55,WI,135,WAUPACA,1,1
6839716,138,36,NY,17,CHENANGO,1,1
6840006,761,48,TX,439,TARRANT,1,1
6840103,452,39,OH,61,HAMILTON,1,0
6840812,703,22,LA,101,SAINT MARY,1,1
6841532,238,51,VA,41,CHESTERFIELD,1,1
6841618,713,22,LA,9,AVOYELLES,1,1
6841727,304,13,GA,279,TOOMBS,1,1
6841771,394,0,0,0,0,0,0
6842021,125,36,NY,71,ORANGE,1,1
6842356,933,6,CA,29,KERN,1,1
6842396,170,0,0,0,0,0,0
6842411,26,25,MA,1,BARNSTABLE,1,1
6842533,306,13,GA,119,FRANKLIN,1,1
6843230,606,17,IL,31,COOK,1,1
6843420,410,21,KY,117,KENTON,1,1
6843575,890,32,NV,3,CLARK,1,1
6843633,484,26,MI,49,GENESEE,0,0
6843742,307,13,GA,55,CHATTOOGA,0,0
6844353,327,12,FL,127,VOLUSIA,0,0
6844439,197,10,DE,3,NEW CASTLE,1,1
6844747,326,12,FL,1,ALACHUA,1,1
6844815,515,19,IA,85,HARRISON,1,1
6845245,751,48,TX,113,DALLAS,1,1
6845514,681,31,NE,55,DOUGLAS,1,0
6845562,939,6,CA,53,MONTEREY,1,1
6845716,264,54,WV,41,LEWIS,0,0
6845762,342,12,FL,81,MANATEE,1,1
6845829,864,4,AZ,15,MOHAVE,1,1
6846023,338,0,0,0,0,0,0
6846051,754,48,TX,223,HOPKINS,1,1
6846368,949,6,CA,97,SONOMA,1,1
6848016,297,45,SC,91,YORK,1,1
6848095,112,36,NY,47,KINGS,1,0
6848199,278,37,NC,127,NASH,1,0
6848822,297,45,SC,91,YORK,0,0
6848872,705,22,LA,1,ACADIA,1,1
6849275,218,24,MD,45,WICOMICO,1,1
6849707,324,12,FL,5,BAY,1,0
6849787,658,29,MO,77,GREENE,1,1
6849860,10,25,MA,15,HAMPSHIRE,1,1
6849950,816,8,CO,45,GARFIELD,1,0
6850053,451,0,0,0,0,0,0
6850226,207,24,MD,33,PRNC GEORGES,1,1
6850276,163,42,PA,121,VENANGO,1,1
6850340,799,48,TX,141,EL PASO,1,1
6850792,174,42,PA,133,YORK,1,1
6851693,706,22,LA,19,CALCASIEU,0,0
6852096,431,39,OH,97,MADISON,1,1
6853337,298,45,SC,11,BARNWELL,1,1
6853391,234,51,VA,810,VIRGINIA BCH,0,0
6853680,336,0,0,0,0,0,0
6854140,146,36,NY,55,MONROE,1,0
6854208,275,37,NC,183,WAKE,1,0
6854338,157,42,PA,65,JEFFERSON,1,1
6854553,130,36,NY,11,CAYUGA,1,1
6854582,602,17,IL,31,COOK,1,1
6854623,606,17,IL,31,COOK,1,0
6855091,70,34,NJ,13,ESSEX,1,0
6855253,921,6,CA,73,SAN DIEGO,1,0
6855320,218,24,MD,39,SOMERSET,1,1
6855492,385,47,TN,185,WHITE,0,0
6855646,483,26,MI,99,MACOMB,0,0
6856081,954,0,0,0,0,0,0
6856626,926,6,CA,59,ORANGE,1,0
6856904,342,0,0,0,0,0,0
6857095,864,4,AZ,15,MOHAVE,1,1
6857516,919,6,CA,73,SAN DIEGO,0,0
6858544,215,24,MD,1,ALLEGANY,1,1
6858658,463,18,IN,89,LAKE,1,1
6858725,920,6,CA,73,SAN DIEGO,1,1
6859350,212,24,MD,5,BALTIMORE,1,1
6859731,923,6,CA,71,SAN BRNRDINO,0,0
